,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3200,29384140,221337240,Amsterdam Prince Island By YAYS,Centrum-West,52.384609999999995,4.8895800000000005,Entire home/apt,782,1,4,5,353
3201,29389947,5996778,Jumoke,Oostelijk Havengebied - Indische Buurt,52.36704,4.93206,Entire home/apt,140,5,7,1,0
3202,29403228,9482781,Nanning,Westerpark,52.38325,4.87405,Entire home/apt,165,8,23,2,0
3203,29435883,24666452,Mirjam,Watergraafsmeer,52.35321,4.94144,Entire home/apt,120,4,8,1,4
3204,29452517,13144908,Johan,Zuid,52.361270000000005,4.88209,Entire home/apt,450,3,16,1,0
3205,29456931,81128875,Aleksandar,Westerpark,52.3866,4.88288,Entire home/apt,400,3,15,1,344
3206,29471672,23920538,Patricia,Centrum-West,52.37267,4.87725,Hotel room,270,1,0,1,158
3207,29477986,14318799,Franka,Centrum-Oost,52.3678,4.92339,Private room,113,3,78,1,166
3208,29563694,4118803,Claar,De Pijp - Rivierenbuurt,52.34564,4.89877,Private room,110,5,0,1,43
3209,29568363,12448020,Maria,Centrum-West,52.38285,4.88322,Private room,51,5,62,2,1
3210,29604704,21273834,Peter,De Pijp - Rivierenbuurt,52.35069,4.8970400000000005,Entire home/apt,200,2,8,1,0
3211,29622686,7004753,Sofie,De Pijp - Rivierenbuurt,52.35172,4.89783,Entire home/apt,280,2,18,1,363
3212,29648361,223154779,Canal View Suite,Centrum-West,52.37719,4.8929599999999995,Private room,155,2,30,1,260
3213,29653936,2991165,Dan,Bos en Lommer,52.37495,4.84774,Entire home/apt,140,2,3,1,33
3214,29668487,5559694,Mick,De Baarsjes - Oud-West,52.36203,4.87407,Entire home/apt,1000,4,20,1,18
3215,29678104,69422882,Thomas,Watergraafsmeer,52.35348,4.9451,Entire home/apt,129,4,8,2,146
3216,29701331,223507896,Dylan,De Pijp - Rivierenbuurt,52.35478,4.90439,Entire home/apt,299,2,33,1,6
3217,29705321,51403934,Anne,De Baarsjes - Oud-West,52.361416,4.86674,Private room,156,3,108,1,119
3218,29705676,2598068,Roy,Oostelijk Havengebied - Indische Buurt,52.3764,4.946269999999999,Private room,120,2,60,1,130
3219,29723106,223623374,Wietse,Westerpark,52.38225,4.87299,Entire home/apt,110,2,3,1,0
3220,29730599,9519113,Miechiel,Watergraafsmeer,52.35645,4.934069999999999,Entire home/apt,147,14,8,1,0
3221,29750219,219048139,Tom,Watergraafsmeer,52.338570000000004,4.91858,Entire home/apt,80,3,6,1,0
3222,29775727,111895751,Amilcar Michel,Centrum-Oost,52.37121,4.91932,Private room,90,1,22,1,0
3223,29776071,224019594,Mark,Centrum-West,52.37206,4.8972,Private room,112,1,191,2,215
3224,29795660,8297308,Peter_Catherine,Bos en Lommer,52.38092,4.86146,Entire home/apt,120,5,1,1,0
3225,29800652,175454731,Ayo,Bos en Lommer,52.3786,4.85046,Entire home/apt,220,2,15,1,0
3226,29818313,780963,Lars,Oud-Noord,52.397220000000004,4.91681,Entire home/apt,140,3,9,1,189
3227,29836165,223790843,Jan Willem,De Pijp - Rivierenbuurt,52.356159999999996,4.90086,Private room,137,2,0,2,244
3228,29845284,221374705,Emmy'S Bnb,Centrum-West,52.38748,4.8882,Private room,115,3,20,2,98
3229,29845425,15976351,Langestraat,Centrum-West,52.37767,4.8928,Private room,175,1,54,1,22
3230,29868977,224621027,Arno & Maria,Noord-Oost,52.403929999999995,4.94149,Private room,70,3,77,1,154
3231,29871927,10778709,Marloes,Oostelijk Havengebied - Indische Buurt,52.37546,4.94386,Private room,110,2,67,1,41
3232,29874862,5037506,Olaf,Oud-Noord,52.39956,4.896809999999999,Private room,529,2,21,2,126
3233,29897394,219229884,Thérèse,Buitenveldert - Zuidas,52.32338,4.86945,Private room,95,1,1,1,105
3234,29901220,224019594,Mark,Centrum-West,52.37206,4.8972,Private room,112,1,141,2,338
3235,29913161,56940150,Michael,De Pijp - Rivierenbuurt,52.35045,4.897469999999999,Entire home/apt,117,2,13,1,9
3236,29914252,16849504,Jochum,Geuzenveld - Slotermeer,52.38388,4.78787,Entire home/apt,83,1,103,4,252
3237,29919168,87974972,Fleur,Watergraafsmeer,52.353,4.9381900000000005,Private room,99,2,52,3,345
3238,29919544,87974972,Fleur,Watergraafsmeer,52.35229,4.93761,Private room,100,2,45,3,341
3239,29923896,156790830,Mila,Centrum-West,52.37988,4.88459,Private room,99,1,101,3,341
3240,29953708,2339287,Blair,De Pijp - Rivierenbuurt,52.3578,4.90303,Entire home/apt,371,4,11,1,175
3241,29961732,9482375,Elizabeth,De Pijp - Rivierenbuurt,52.35477,4.89571,Entire home/apt,221,3,3,1,0
3242,30026596,183546093,Bart,Oostelijk Havengebied - Indische Buurt,52.364509999999996,4.93759,Entire home/apt,90,2,23,1,4
3243,30033928,14162591,Taia,Centrum-West,52.37446,4.89507,Entire home/apt,84,2,8,2,10
3244,30041153,8489765,Alejandro,Westerpark,52.38939,4.88606,Private room,100,2,89,1,71
3245,30041745,225780606,Stef,De Baarsjes - Oud-West,52.370020000000004,4.85277,Private room,70,3,85,3,27
3246,30042149,225780606,Stef,De Baarsjes - Oud-West,52.37039,4.85395,Private room,80,3,57,3,85
3247,30056747,136000556,Demi,Westerpark,52.37392,4.87251,Entire home/apt,175,1,17,1,342
3248,30059099,25603061,Craig,Zuid,52.34988,4.847919999999999,Entire home/apt,400,2,3,1,0
3249,30089759,34846985,Lisa,Bos en Lommer,52.37645,4.84566,Entire home/apt,100,2,14,1,0
3250,30100534,3825472,Jimmy,Oud-Oost,52.359809999999996,4.91453,Private room,54,2,174,2,100
3251,30108002,128591809,Julieta,Noord-Oost,52.40935,4.92851,Entire home/apt,225,3,13,1,209
3252,30123385,3988034,Sascha,Oostelijk Havengebied - Indische Buurt,52.37683,4.9264,Private room,79,1,1,2,198
3253,30140860,199638619,Roszica,Zuid,52.35372,4.87803,Private room,69,3,83,2,163
3254,30141051,199638619,Roszica,Zuid,52.354929999999996,4.88012,Private room,84,3,40,2,151
3255,30142159,195537,Alex,Westerpark,52.383520000000004,4.8794,Entire home/apt,250,2,17,1,0
3256,30152254,9934252,Eline,Oud-Oost,52.3565,4.91704,Entire home/apt,150,4,0,1,5
